Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
1363-TXLSL,Male,80,Yes,0,San Lucas,93954,36.125529,-120.864443,0,1,Offer E,Yes,39.1,No,Yes,Fiber Optic,27.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,70.3,0.0,0,39.1,109.4,Churned,Competitor,Competitor had better devices
1373-ORVIZ,Female,62,Yes,0,Modesto,95351,37.621458,-121.012295,1,11,Offer D,Yes,15.69,Yes,Yes,DSL,12.0,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,66.35,740.8,0.0,0,172.59,913.39,Churned,Competitor,Competitor had better devices
1374-DMZUI,Female,65,No,0,San Ramon,94583,37.766556,-121.976784,0,4,Offer E,Yes,49.5,Yes,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,Churned,Competitor,Competitor made better offer
1389-CXMLU,Male,65,No,0,Downey,90242,33.921793,-118.140588,0,3,Offer E,Yes,26.32,Yes,Yes,Fiber Optic,8.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,91.05,289.1,0.0,0,78.96,368.06,Churned,Competitor,Competitor made better offer
1415-YFWLT,Female,68,No,0,Shaver Lake,93664,37.223,-119.001021,0,1,Offer E,Yes,30.23,No,Yes,Fiber Optic,30.0,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.3,89.3,0.0,0,30.23,119.53,Churned,Competitor,Competitor had better devices
1444-VVSGW,Male,51,Yes,0,Los Molinos,96055,40.059385,-122.091481,1,70,Offer A,Yes,17.17,Yes,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,No,Credit Card,115.65,7968.85,0.0,10,1201.9,9180.75,Churned,Dissatisfaction,Product dissatisfaction
1448-PWKYE,Male,48,Yes,0,Shafter,93263,35.490705,-119.286833,1,1,Offer E,Yes,35.71,No,Yes,Cable,3.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,80.0,80.0,0.0,0,35.71,115.71,Churned,Competitor,Competitor had better devices
1455-UGQVH,Male,35,Yes,0,Acampo,95220,38.200231,-121.235034,1,10,Offer D,Yes,1.09,Yes,Yes,Fiber Optic,18.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,1037.75,0.0,0,10.9,1048.65,Churned,Dissatisfaction,Lack of self-service on Website
1502-XFCVR,Female,57,No,0,Los Angeles,90038,34.088017,-118.327168,0,58,Offer B,Yes,14.99,No,Yes,Fiber Optic,12.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.45,6145.85,0.0,0,869.42,7015.27,Churned,Competitor,Competitor offered higher download speeds
1513-XNPPH,Female,36,No,0,Los Angeles,90037,34.002642,-118.287596,0,12,Offer D,Yes,17.46,No,Yes,Fiber Optic,9.0,No,No,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,1095.65,0.0,0,209.52,1305.17,Churned,Dissatisfaction,Product dissatisfaction
1518-VOWAV,Female,31,No,0,Fallbrook,92028,33.362575,-117.299644,0,9,Offer E,Yes,36.43,No,Yes,DSL,16.0,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.65,703.55,0.0,0,327.87,1031.42,Churned,Competitor,Competitor made better offer
1541-ETJZO,Male,58,No,0,Wheatland,95692,39.043387,-121.409837,0,1,Offer E,Yes,47.83,Yes,Yes,DSL,12.0,No,No,Yes,Yes,No,No,No,No,Month-to-Month,No,Mailed Check,62.05,62.05,0.0,10,47.83,119.88,Churned,Other,Moved
1555-DJEQW,Female,21,Yes,0,Cupertino,95014,37.306612,-122.080621,1,70,Offer A,Yes,16.78,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.2,7723.9,48.54,0,1174.6,8849.96,Churned,Price,Price too high
1579-KLYDT,Male,31,No,0,Hickman,95323,37.605926,-120.69955,0,7,Offer E,Yes,35.91,Yes,Yes,Fiber Optic,27.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.45,593.45,0.0,0,251.37,844.82,Churned,Competitor,Competitor made better offer
1582-RAFML,Male,26,No,0,Sacramento,95821,38.625096,-121.383658,0,1,Offer E,Yes,23.63,Yes,Yes,Cable,85.0,No,Yes,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,60.1,60.1,0.0,0,23.63,83.73,Churned,Competitor,Competitor had better devices
1585-MQSSU,Male,36,No,0,Santa Rosa,95404,38.526941,-122.709096,0,17,Offer D,Yes,46.6,No,Yes,Cable,2.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Mailed Check,51.5,900.5,35.34,0,792.2,1657.36,Churned,Dissatisfaction,Lack of self-service on Website
1587-FKLZB,Male,79,Yes,0,Santa Barbara,93101,34.419203,-119.710008,1,66,Offer A,Yes,28.86,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,0.0,0,1904.76,8726.91,Churned,Competitor,Competitor had better devices
1596-BBVTG,Male,53,No,0,San Dimas,91773,34.102119,-117.815532,0,35,Offer C,Yes,25.04,Yes,Yes,Fiber Optic,21.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,75.35,2636.05,0.0,0,876.4,3512.45,Churned,Dissatisfaction,Poor expertise of online support
1597-FZREH,Female,39,No,0,Shoshone,92384,35.924252,-116.188668,0,2,Offer E,Yes,41.64,No,Yes,DSL,25.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,76.4,160.8,0.0,0,83.28,244.08,Churned,Price,Lack of affordable download/upload speed
1602-IJQQE,Female,42,No,0,Whittier,90602,33.972119,-118.020188,0,4,Offer E,Yes,29.11,Yes,Yes,Fiber Optic,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.35,338.1,0.0,0,116.44,454.54,Churned,Competitor,Competitor had better devices
1612-EOHDH,Female,29,No,0,Pacoima,91331,34.255442,-118.421314,0,1,Offer E,Yes,30.92,No,Yes,DSL,69.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,45.15,45.15,0.0,0,30.92,76.07,Churned,Attitude,Attitude of support person
1658-BYGOY,Male,71,No,3,Los Angeles,90065,34.108833,-118.229715,0,18,Offer D,Yes,11.33,Yes,Yes,Fiber Optic,52.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,Churned,Competitor,Competitor made better offer
1670-SVOWZ,Female,57,Yes,0,Mira Loma,91752,33.999992,-117.535395,1,14,Offer D,Yes,7.62,No,Yes,Fiber Optic,3.0,No,Yes,No,Yes,No,Yes,Yes,No,Month-to-Month,Yes,Credit Card,89.65,1208.35,0.0,120,106.68,1435.03,Churned,Competitor,Competitor had better devices
1678-FYZOW,Female,28,No,0,Sacramento,95835,38.685069,-121.543709,0,3,Offer E,Yes,46.6,No,Yes,Fiber Optic,76.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.4,244.65,0.0,0,139.8,384.45,Churned,Competitor,Competitor offered higher download speeds
1699-HPSBG,Male,44,No,0,Palm Springs,92264,33.745746,-116.514215,0,12,Offer D,Yes,9.6,No,Yes,Cable,23.0,No,No,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,59.8,727.8,0.0,0,115.2,843.0,Churned,Competitor,Competitor offered higher download speeds
1731-TVIUK,Female,47,No,0,Temecula,92592,33.507255,-117.029473,0,4,Offer E,Yes,7.39,Yes,Yes,Fiber Optic,4.0,No,Yes,No,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.5,362.2,0.0,0,29.56,391.76,Churned,Competitor,Competitor made better offer
1750-CSKKM,Male,40,No,3,Imperial Beach,91932,32.579134,-117.119009,0,9,Offer E,Yes,41.02,No,Yes,DSL,27.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,55.35,449.75,0.0,0,369.18,818.93,Churned,Competitor,Competitor had better devices
1771-OADNZ,Male,70,Yes,0,Pauma Valley,92061,33.313828,-116.940501,1,29,Offer C,Yes,35.38,Yes,Yes,Fiber Optic,21.0,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.9,2745.2,0.0,50,1026.02,3821.22,Churned,Price,Extra data charges
1792-UXAFY,Female,80,No,0,San Jose,95110,37.34667,-121.910019,0,17,Offer D,Yes,30.37,No,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.15,1496.9,0.0,0,516.29,2013.19,Churned,Dissatisfaction,Service dissatisfaction
1794-HBQTJ,Female,22,No,0,Corcoran,93212,36.04533,-119.532424,0,1,Offer E,Yes,6.54,No,Yes,Cable,52.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.6,48.6,0.0,0,6.54,55.14,Churned,Dissatisfaction,Poor expertise of phone support
1820-TQVEV,Male,27,No,0,Madera,93638,37.004068,-119.930027,0,1,Offer E,Yes,49.43,No,Yes,Fiber Optic,48.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.55,69.55,0.0,0,49.43,118.98,Churned,Attitude,Attitude of support person
1833-VGRUM,Female,70,No,0,Perris,92570,33.787298,-117.320676,0,1,Offer E,Yes,48.95,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.2,74.2,0.0,0,48.95,123.15,Churned,Price,Price too high
1842-EZJMK,Male,28,Yes,0,Orangevale,95662,38.689174,-121.218435,1,50,Offer B,Yes,34.14,Yes,Yes,Fiber Optic,69.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,103.7,5071.05,36.61,0,1707.0,6741.44,Churned,Competitor,Competitor had better devices
1866-RZZQS,Male,77,No,0,Redlands,92373,34.003243,-117.138286,0,41,Offer B,Yes,42.06,Yes,Yes,Fiber Optic,21.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.4,4187.75,0.0,0,1724.46,5912.21,Churned,Competitor,Competitor had better devices
1867-BDVFH,Male,35,Yes,0,Los Angeles,90056,33.987945,-118.370442,1,11,Offer D,Yes,9.14,Yes,Yes,Fiber Optic,19.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,834.2,0.0,0,100.54,934.74,Churned,Competitor,Competitor made better offer
1875-QIVME,Female,26,Yes,3,Tujunga,91042,34.296574,-118.244839,1,2,Offer E,Yes,11.51,Yes,Yes,Fiber Optic,53.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,104.4,242.8,45.44,0,23.02,220.38,Churned,Attitude,Attitude of support person
1902-XBTFB,Male,39,No,0,North Hollywood,91605,34.207295,-118.400022,0,22,Offer D,Yes,39.58,No,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.4,2001.5,0.0,0,870.76,2872.26,Churned,Dissatisfaction,Lack of self-service on Website
1965-AKTSX,Female,65,No,0,Byron,94514,37.83323,-121.601461,0,14,Offer D,Yes,16.36,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.95,1101.85,0.0,0,229.04,1330.89,Churned,Competitor,Competitor made better offer
1984-FCOWB,Female,21,Yes,0,Templeton,93465,35.536115,-120.739231,1,70,Offer A,Yes,41.88,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,109.5,7674.55,0.0,150,2931.6,10756.15,Churned,Attitude,Attitude of service provider
2003-CKLOR,Male,62,No,0,Igo,96047,40.524535,-122.647172,0,66,Offer A,Yes,25.82,No,Yes,Cable,26.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,99.5,6710.5,0.0,0,1704.12,8414.62,Churned,Other,Moved
2004-OCQXK,Female,44,No,0,Merced,95348,37.40122,-120.514191,0,1,Offer E,Yes,44.94,No,Yes,Fiber Optic,16.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.95,81.95,0.0,0,44.94,126.89,Churned,Competitor,Competitor had better devices
2012-NWRPA,Female,78,Yes,0,Modesto,95355,37.672906,-120.946594,1,11,Offer D,Yes,1.28,Yes,Yes,Fiber Optic,14.0,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.55,1131.2,0.0,0,14.08,1145.28,Churned,Competitor,Competitor made better offer
2024-BASKD,Female,23,No,0,Exeter,93221,36.301689,-119.018233,0,1,Offer E,Yes,22.16,No,Yes,Fiber Optic,47.0,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Mailed Check,74.6,74.6,0.0,10,22.16,106.76,Churned,Competitor,Competitor offered more data
2034-GDRCN,Female,47,No,0,San Diego,92122,32.85723,-117.209774,0,2,Offer E,Yes,10.53,No,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.4,168.2,0.0,0,21.06,189.26,Churned,Other,Don't know
2037-XJFUP,Male,24,Yes,0,Temecula,92592,33.507255,-117.029473,1,33,Offer C,Yes,41.8,No,Yes,Fiber Optic,41.0,No,No,Yes,No,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,95.8,3036.75,0.0,60,1379.4,4476.15,Churned,Competitor,Competitor made better offer
2055-PDADH,Female,71,No,0,Big Bend,96011,41.096569,-121.879082,0,3,Offer E,Yes,2.26,No,Yes,Fiber Optic,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,204.7,0.0,0,6.78,211.48,Churned,Other,Don't know
2057-ZBLPD,Female,50,Yes,0,Los Gatos,95032,37.233034,-121.947427,3,21,Offer D,Yes,42.22,Yes,Yes,Fiber Optic,29.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,86.5,1808.7,0.0,0,886.62,2695.32,Churned,Competitor,Competitor offered more data
2058-DCJBE,Male,32,No,0,Los Angeles,90012,34.065875,-118.238728,0,5,Offer E,Yes,31.14,No,Yes,Fiber Optic,5.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.75,324.6,0.0,0,155.7,480.3,Churned,Competitor,Competitor had better devices
2070-FNEXE,Female,77,No,2,Pasadena,91107,34.159007,-118.087353,0,7,Offer E,Yes,26.95,No,Yes,Fiber Optic,18.0,Yes,No,No,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,11.05,0,188.65,681.2,Churned,Price,Lack of affordable download/upload speed
2074-GKOWZ,Male,49,Yes,0,Novato,94947,38.112166,-122.634384,1,2,Offer E,Yes,8.86,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,89.55,185.55,0.0,0,17.72,203.27,Churned,Competitor,Competitor had better devices
2082-CEFLT,Male,31,No,0,San Diego,92109,32.787836,-117.232376,0,1,Offer E,Yes,11.73,No,Yes,DSL,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.6,45.6,0.0,0,11.73,57.33,Churned,Competitor,Competitor made better offer
2114-MGINA,Female,57,No,0,Rio Vista,94571,38.148862,-121.737696,0,14,Offer D,Yes,10.3,No,Yes,Fiber Optic,29.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.8,1129.1,0.0,0,144.2,1273.3,Churned,Attitude,Attitude of support person
2135-RXIHG,Male,63,No,0,Carson,90745,33.822295,-118.26411,0,1,Offer E,Yes,14.12,No,Yes,Cable,24.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.65,45.65,0.0,0,14.12,59.77,Churned,Competitor,Competitor had better devices
2141-RRYGO,Female,51,No,0,Camino,95709,38.748316,-120.675512,0,4,Offer E,Yes,10.64,No,Yes,DSL,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,68.65,261.25,0.0,0,42.56,303.81,Churned,Dissatisfaction,Poor expertise of online support
2150-UWTFY,Female,21,Yes,3,San Mateo,94402,37.556634,-122.317723,1,22,Offer D,Yes,42.98,No,Yes,DSL,30.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,No,Credit Card,61.15,1422.05,0.0,80,945.56,2447.61,Churned,Dissatisfaction,Service dissatisfaction
2154-KVJFF,Female,42,No,0,Stevinson,95374,37.316807,-120.855753,0,15,Offer D,Yes,42.83,Yes,Yes,Fiber Optic,21.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.75,1111.85,0.0,0,642.45,1754.3,Churned,Dissatisfaction,Limited range of services
2157-MXBJS,Male,20,Yes,0,Calistoga,94515,38.629618,-122.593216,1,13,Offer D,Yes,41.22,Yes,Yes,Cable,82.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,75.3,989.45,0.0,0,535.86,1525.31,Churned,Dissatisfaction,Network reliability
2207-NHRJK,Male,58,No,0,Carmel,93923,36.460611,-121.852507,0,1,Offer E,Yes,1.28,No,Yes,DSL,27.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.8,50.8,0.0,0,1.28,52.08,Churned,Competitor,Competitor had better devices
2225-ZRGSG,Female,38,Yes,0,Piru,93040,34.432843,-118.730106,1,70,Offer A,Yes,5.48,Yes,Yes,Fiber Optic,14.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,93.9,6579.05,0.0,0,383.6,6962.65,Churned,Price,Long distance charges
2237-ZFSMY,Female,29,No,0,Riverdale,93656,36.452211,-119.94575,0,39,Offer C,Yes,4.48,No,Yes,Fiber Optic,71.0,Yes,No,Yes,Yes,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,95.55,3692.85,0.0,0,174.72,3867.57,Churned,Attitude,Attitude of service provider
2239-JALAW,Male,20,No,0,Escondido,92027,33.141265,-116.967221,0,58,Offer B,Yes,44.5,Yes,Yes,Fiber Optic,47.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,103.25,6017.65,0.0,0,2581.0,8598.65,Churned,Competitor,Competitor made better offer
2276-YDAVZ,Female,63,No,0,San Diego,92129,32.961064,-117.134917,0,3,Offer E,Yes,26.52,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.1,270.7,0.0,0,79.56,350.26,Churned,Competitor,Competitor made better offer
2321-OMBXY,Female,55,Yes,0,San Diego,92122,32.85723,-117.209774,1,38,Offer C,Yes,42.14,No,Yes,DSL,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,80.3,3058.65,0.0,0,1601.32,4659.97,Churned,Other,Don't know
2325-ZUSFD,Female,46,Yes,0,Irvine,92602,33.720359,-117.733655,1,57,Offer B,Yes,36.65,No,Yes,DSL,7.0,Yes,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,70.1,3913.3,0.0,0,2089.05,6002.35,Churned,Dissatisfaction,Network reliability
2359-KMGLI,Male,52,No,0,Running Springs,92382,34.186211,-117.07683,0,24,Offer C,Yes,49.3,Yes,Yes,Fiber Optic,20.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.25,1861.5,0.0,0,1183.2,3044.7,Churned,Competitor,Competitor had better devices
2362-IBOOY,Male,22,No,0,San Diego,92126,32.886925,-117.152162,0,36,Offer C,Yes,43.97,Yes,Yes,Fiber Optic,42.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.75,3050.15,0.0,0,1582.92,4633.07,Churned,Competitor,Competitor made better offer
2369-UAPKZ,Male,43,No,0,Meadow Vista,95722,39.003358,-121.022539,0,5,Offer E,Yes,38.89,Yes,Yes,Fiber Optic,8.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Mailed Check,104.1,541.9,0.0,0,194.45,736.35,Churned,Other,Moved
2372-HWUHI,Male,45,No,0,Lakewood,90712,33.840524,-118.148403,0,2,Offer E,Yes,46.84,No,Yes,DSL,3.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,44.35,81.25,0.0,0,93.68,174.93,Churned,Other,Don't know
2379-ENZGV,Male,61,No,0,San Diego,92126,32.886925,-117.152162,0,6,Offer E,Yes,39.32,No,Yes,Fiber Optic,12.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,523.5,0.0,0,235.92,759.42,Churned,Competitor,Competitor made better offer
2382-BCKQJ,Female,41,No,0,Escondido,92027,33.141265,-116.967221,0,62,Offer B,Yes,32.58,Yes,Yes,Fiber Optic,15.0,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,100.15,6413.65,0.0,0,2019.96,8433.61,Churned,Competitor,Competitor made better offer
2391-SOORI,Male,40,No,1,Big Bear City,92314,34.278967,-116.773825,0,4,Offer E,Yes,26.04,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,49.35,219.65,0.0,0,104.16,323.81,Churned,Dissatisfaction,Lack of self-service on Website
2403-BCASL,Male,66,Yes,0,Santa Ana,92705,33.766004,-117.786763,1,41,Offer B,Yes,45.04,Yes,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,0.0,0,1846.64,6381.54,Churned,Other,Don't know
2408-TZMJL,Male,43,Yes,0,Gualala,95445,38.848082,-123.50608,1,59,Offer B,Yes,22.71,Yes,Yes,Fiber Optic,26.0,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,110.15,6448.05,0.0,0,1339.89,7787.94,Churned,Dissatisfaction,Network reliability
2433-KMEAS,Male,62,No,0,Dublin,94568,37.713926,-121.928425,0,22,Offer D,Yes,7.28,Yes,Yes,DSL,7.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.45,1127.35,0.0,0,160.16,1287.51,Churned,Other,Don't know
2446-PLQVO,Male,32,No,0,Santa Clarita,91350,34.502432,-118.41459,0,1,Offer E,Yes,5.67,No,Yes,Fiber Optic,7.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.3,70.3,0.0,0,5.67,75.97,Churned,Other,Don't know
2454-RPBRZ,Female,67,Yes,0,Catheys Valley,95306,37.394411,-120.127262,1,12,Offer D,Yes,30.63,Yes,Yes,Fiber Optic,27.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.1,1060.2,49.06,0,367.56,1378.7,Churned,Dissatisfaction,Service dissatisfaction
2479-BRAMR,Male,74,Yes,0,Murphys,95247,38.147852,-120.440124,1,41,Offer B,Yes,45.84,Yes,Yes,Fiber Optic,18.0,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,3273.55,0.0,0,1879.44,5152.99,Churned,Competitor,Competitor offered more data
2506-CLAKW,Female,20,No,0,Ventura,93003,34.279221,-119.221437,0,6,Offer E,Yes,20.26,No,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.15,567.45,0.0,0,121.56,689.01,Churned,Attitude,Attitude of support person
2514-GINMM,Male,60,No,0,Dana Point,92629,33.477923,-117.705314,0,1,Offer E,Yes,48.97,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,79.5,79.5,0.0,0,48.97,128.47,Churned,Attitude,Attitude of service provider
2519-FAKOD,Male,30,No,0,Tehachapi,93561,35.073777,-118.652112,0,38,Offer C,Yes,31.27,Yes,Yes,Fiber Optic,85.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.25,3777.15,0.0,0,1188.26,4965.41,Churned,Competitor,Competitor had better devices
2530-ENDWQ,Female,55,Yes,0,Rio Dell,95562,40.485849,-124.163234,2,71,Offer A,Yes,40.52,Yes,Yes,Fiber Optic,17.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,93.7,6585.35,0.0,0,2876.92,9462.27,Churned,Competitor,Competitor offered more data
2533-QVMSK,Male,46,Yes,0,March Air Reserve Base,92518,33.888323,-117.277533,9,61,Offer B,Yes,26.94,Yes,Yes,Fiber Optic,11.0,No,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,94.1,5638.3,0.0,0,1643.34,7281.64,Churned,Competitor,Competitor offered more data
2575-GFSOE,Female,25,Yes,0,Graton,95444,38.434362,-122.86891,1,7,Offer E,Yes,8.95,No,Yes,Fiber Optic,73.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,69.0,506.9,0.0,0,62.65,569.55,Churned,Attitude,Attitude of service provider
2612-RANWT,Female,24,No,0,Mount Laguna,91948,32.830852,-116.444601,0,12,Offer D,Yes,30.54,Yes,Yes,Fiber Optic,47.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.15,1164.3,0.0,0,366.48,1530.78,Churned,Price,Price too high
2612-RRIDN,Male,25,No,0,Westwood,96137,40.271535,-121.018087,0,4,Offer E,Yes,21.62,No,Yes,Fiber Optic,59.0,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,81.0,340.85,0.0,50,86.48,477.33,Churned,Dissatisfaction,Limited range of services
2626-URJFX,Male,55,Yes,3,Termo,96132,41.027281,-120.669427,1,4,Offer E,Yes,8.58,Yes,Yes,DSL,57.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,50.9,225.6,0.0,0,34.32,259.92,Churned,Dissatisfaction,Network reliability
2636-ALXXZ,Female,68,No,0,Tahoe Vista,96148,39.24124,-120.054765,0,1,Offer E,Yes,45.8,No,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,45.8,115.4,Churned,Dissatisfaction,Poor expertise of online support
